impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-119203,A589651,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2012191,LOST,Gunnar/rocky,Dog,Over 1 year,Male,Rottweiler,Unknown,07/09/2019 12:00:00 AM,Date Lost,15700 SE 148TH ST,RENTON,WA,98059,KING COUNTY,47.470316,-122.130172,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2012191,Image Copyright HLP Inc. 2019,"Description: He has a Rottweiler head and a lean body with a straight tail. He’s dog/people friendly and should come for treats.<p/>Age: Over 1 year<p/>Location Lost: 15700 SE 148th St<p/>Notes: Adopted about 2 weeks ago from the shelter in Bellevue. His name was Rocky, it’s now Gunnar. He was wearing a black nylon collar.<p/>Lost Date: 07/09/2019<p/>",
K17-104325,A533907,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Hera,Cat,11 YEARS -1 MONTHS,Spayed Female,Domestic Shorthair,Calico,10/28/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATTLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A533907,Image Copyright HLP Inc. 2019,"Received on: 2017-10-28<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS -1 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>My name is Hera and I am an 11 year old calico, short haired, spayed female cat. I ended up at the shelter through no fault of my own and now I am looking for a forever home.<p/><p/>I am a very sweet and friendly girl.  I love, love, love attention and will come to seek you out.  I get along well with other cats, even when they get in my face, I still stay chill. I love to be petted and brushed too.<p/><p/>I am litterbox trained, have all my vaccinations and I'm microchipped, so I will not get lost again.  I am an easy going girl who really just wants to find my forever friend.  Please come to see me, you won't be disappointed.<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Hera has been diagnosed with hyperthyroidism; excess production of thyroid hormone.  Hyperthyroidism can cause weight loss, vocalization, increased urine production and heart disease.  This condition is being managed with daily medication.  Other treatment options may be available, including radioactive iodine treatment or prescription diet.  Periodic blood testing to monitor thyroid levels is needed.  Please follow up with you regular veterinarian to create a treatment plan.  An educational handout is provided.<p/><p/>2)     Hera has had mild recurring upper respiratory infections.<p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>",
K17-105331,A547918,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Babette,Cat,18 YEARS 7 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,12/04/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547918,Image Copyright HLP Inc. 2019,"Received on: 2017-12-04<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 18 YEARS 7 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Babette and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/5/17 because the landlord didn't allow cats. I lived in a home with dogs but the were not my favorite. I also lived with other cats and children. My previous owner described me as calm and vocal.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     This animal has been diagnosed as hyperthyroid.  This means that thyroid gland is producing an excess of hormones.  This disease can be easily managed with daily medication, radioactive iodine treatment or prescription diet.  Please follow up with you regular veterinarian to create a treatment plan.  We have also included a handout with more information about this disease.<p/><p/>2)  This animal has been diagnosed with early kidney disease.  This condition can be managed with special diets and medications.  Treatment will be lifelong.  Please follow up with your regular veterinarian for the best treatment plan.  <p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/><p/>",BLUE
K18-106401,A551273,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Midnight,Cat,13 YEARS 5 MONTHS,Spayed Female,Domestic Shorthair,Black,02/03/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551273,Image Copyright HLP Inc. 2019,"Received on: 2018-02-03<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 13 YEARS 5 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Midnight and I am available for adoption.<p/><p/>I was brought in by my previous owner on  2/3/18.<p/><p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/><p/><p/><p/>",GREEN
K18-108867,A559278,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mildred,Cat,11 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Brn Tabby,06/01/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,BELLEVUE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A559278,Image Copyright HLP Inc. 2019,"Received on: 2018-06-01<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Mildred and I am available for adoption.<p/><p/>I was brought in by a good samaritan on June 1, 2018.<p/><p/>I am a sweet older lady with an adorable meow. I am pretty nervous in this environment but if you go slow, I start to warm up and melt into your pets. Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Dilute urine and increased kidney values, indicating early kidney disease.  This condition can be managed with special diets and medications.  Treatment will be lifelong.  Please follow up with your regular veterinarian for the best treatment plan.  <p/><p/>2)  Increase in white blood cells.  Clinical significance uknnown.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>",BLUE
K18-109705,A561461,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Baby Girl,Cat,15 YEARS,Spayed Female,Domestic Shorthair,Seal Pt,06/26/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,COVINGTON,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A561461,Image Copyright HLP Inc. 2019,"Received on: 2018-06-26<p/> Description: Seal Pt Spayed Female Domestic Shorthair Cat<p/> Age: 15 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Baby Girl and I am available for adoption.<p/><p/>I was brought in by my previous owner on 6/26/18 because they couldnt take care of me anymore. My previous owner described me as friendly, active, playful and vocal.<p/><p/>I do love to talk! I would love to tell you all about how my day is going!<p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K18-110899,A564655,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Checkers,Cat,14 YEARS 11 MONTHS,Spayed Female,Domestic Shorthair,Black / White,08/02/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A564655,Image Copyright HLP Inc. 2019,"Received on: 2018-08-02<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 14 YEARS 11 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Checkers and I am available for adoption.<p/><p/>I was brought in by my previous owner on August 2nd, 2018 because they were moving and could not keep me. My previous owner described me as friendly and sweet. They also said that I like to hang out in windows and watch birds, lay on your lap and that I'm not a big fan of being picked up. <p/><p/>My personality color is red.  I enjoy getting pets on the head most and I like sitting on your lap after I get to know you!  <p/><p/>My caregivers have noticed I do not like other cats.  I prefer to be the only princess in the house!<p/><p/>",RED
K18-111651,A566749,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Rosie,Cat,13 YEARS 10 MONTHS,Female,Domestic Shorthair,Calico / Tortie,08/27/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A566749,Image Copyright HLP Inc. 2019,"Received on: 2018-08-27<p/> Description: Calico / Tortie Female Domestic Shorthair Cat<p/> Age: 13 YEARS 10 MONTHS<p/> Adoption Fee: $30.0<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Rosie and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 8/27/18.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>",GREEN
K18-112651,A570647,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Dobie,Dog,5 YEARS 3 MONTHS,Neutered Male,German Shepherd / Labrador Retriever,Black / Brown,10/03/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,BELLEVUE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570647,Image Copyright HLP Inc. 2019,"Received on: 2018-10-03<p/> Description: Black / Brown Neutered Male German Shepherd / Labrador Retriever Dog<p/> Age: 5 YEARS 3 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Dobie and I am available for adoption.<p/><p/>I was brought in by my previous owner on October 3, 2018 because they were unable to care for me any longer. I lived in a home with adults only. My previous owner described me as shy, playful, demanding, and protective.<p/><p/>My caregivers soon realized that I did not thrive in a shelter environment so I was sent to an amazing foster home so they could get to know me a little better.<p/><p/>I am in a foster home with three large dogs. I immediately melded with the household dogs extremely well. I like to play and I seem to do well with large dogs. I love playing with other large dogs so much that I will regularly jumped the fence between my yard and the neighbor's yard so I can play with the dog over there as well! When I am not playing with my dog friend's, I love to snooze with them in a big puppy pile.<p/><p/>My foster has found that I bond quickly and I warm up to my humans easily. Once I know you and trust you, I am great with body handling and grooming. I am also super affectionate and loving. I do have some ""stranger danger"" though which results in sometimes barking at neighbors in their yard. I have been to stores and walks though where I notice strangers but do not bark at them. The scariest place for me seems to be the vet.<p/><p/>I am a fun dog that loves to play fetch, tug, tear up toys, and solve food puzzles. I am perfectly housetrained at my foster's home. My previous owner said that I may have some separation anxiety when home alone but my foster has discovered that I am just wicked smart and can open doors and gates and then will have some destructive habits due to boredom. I do best when put in a dog proof room with another dog. Because I am super smart and am very food motivated, I am also super easy to train!<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>Dobie is currently in a foster home with one of our volunteers, Amanda R. Please contact his foster family for more information or to meet Dobie. Email Russella321@gmail.com or call 321-917-2969.<p/>",
K19-115007,A578798,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mcgonagall,Cat,11 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / White,01/22/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578798,Image Copyright HLP Inc. 2019,"Received on: 2019-01-22<p/> Description: Brn Tabby / White Spayed Female Domestic Shorthair Cat<p/> Age: 11 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>McGonagall is still very timid to strangers. However once she gets to know you she will beg you for attention. Definitely shows her age in the amount of energy she has. She plays with many things whether intended for her or not ??. Her sweet spot is right behind her ears and her jaw line especially, pet there a few times and she will literally melt in your hands!<p/><p/>Please contact the foster mom Casey at 505-577-2119<p/>",BLUE
